iter	RMSE
0	1.157372535
1	1.114605158
2	1.07524287
3	1.038825409
4	1.005643074
5	0.9758777335
6	0.9485248776
7	0.9238308607
8	0.9014151898
9	0.8804193662
10	0.8610358543
11	0.8437613833
12	0.8278498599
13	0.8136920719
14	0.796340684
15	0.7797894819
16	0.7663985949
17	0.7556567131
18	0.7439592604
19	0.7326463182
20	0.7231151722
21	0.7149613407
22	0.7066321876
23	0.6981368936
24	0.6916695029
25	0.6859319835
26	0.6798522511
27	0.6740473872
28	0.6687358046
29	0.6641068046
30	0.6592192218
31	0.655758373
32	0.6517647151
33	0.6486342517
34	0.6456847112
35	0.6424360503
36	0.6381542522
37	0.6350788257
38	0.6321087686
39	0.6297837055
40	0.6278173014
41	0.6238488677
42	0.6216718105
43	0.6196812641
44	0.6174897323
45	0.6160573971
46	0.6126972144
47	0.6109118408
48	0.60855107
49	0.6066081423
50	0.6040264598
51	0.6023164989
52	0.5998446271
53	0.5978800834
54	0.5968886738
55	0.5958543357
56	0.5943473674
57	0.593502955
58	0.5919136649
59	0.5900855524
60	0.5883183409
61	0.5873825897
62	0.5864444497
63	0.5856785629
64	0.5845377228
65	0.5838250406
66	0.5823050852
67	0.5809980129
68	0.5796968473
69	0.5790416044
70	0.5786280438
71	0.5780024616
72	0.5776316507
73	0.5763351757
74	0.5755408957
75	0.5743912599
76	0.5735692489
77	0.5733302084
78	0.5727254625
79	0.572150872
80	0.5717088337
81	0.5708670557
82	0.5705504244
83	0.5703387217
84	0.5690891881
85	0.5677861852
86	0.5666329462
87	0.5652653455
88	0.5648443288
89	0.5647281833
90	0.5637034412
91	0.5634696704
92	0.5627920685
93	0.5626678979
94	0.5623748576
95	0.5620548039
96	0.5617832428
97	0.5614892062
98	0.560723572
99	0.5603563784
100	0.5600643526
101	0.5597631932
102	0.5588014593
103	0.5586490283
104	0.5585076533
105	0.557874385
106	0.5562924848
107	0.5554704376
108	0.5549727147
109	0.5542178456
110	0.5537084806
111	0.5532545284
112	0.5528459188
113	0.5525869963
114	0.552040651
115	0.5514445623
116	0.5510527487
117	0.550761267
118	0.5501042682
119	0.5491378069
120	0.5491111878
121	0.5486398098
122	0.5484384484
123	0.5483786824
124	0.5482949881
125	0.5477528004
126	0.5474809707
127	0.546628871
128	0.5458360145
129	0.5457654869
130	0.5453784539
131	0.5452061951
132	0.5447353225
133	0.5445809936
134	0.5442564597
135	0.5441203642
136	0.5437194638
137	0.5432451478
138	0.5424172162
139	0.5423337088
140	0.541922265
141	0.5412713949
142	0.5411999952
143	0.5401111117
144	0.5397070941
145	0.5393577581
146	0.5389070895
147	0.5384179146
148	0.5382810678
149	0.5376305908
150	0.5376296138
151	0.5375029529
152	0.5374076793
153	0.537314316
154	0.5370516221
155	0.5370238449
156	0.5366854857
157	0.536682913
158	0.536536757
159	0.5362365453
160	0.5361339928
161	0.5353745942
162	0.5353739215
163	0.5353190047
164	0.5353184159
165	0.5350613053
166	0.5344002256
167	0.5342365625
168	0.5339411848
169	0.5338395407
170	0.5338394845
171	0.5337335752
172	0.5335474029
173	0.5335462778
174	0.5335265037
175	0.5329505386
176	0.5329505105
177	0.53240524
178	0.5320061463
179	0.531503053
180	0.5313312386
181	0.531151627
182	0.530779074
183	0.5304985469
184	0.5304147475
185	0.5303846138
186	0.5303846421
187	0.5295666438
188	0.5295182668
189	0.529512145
190	0.5294358429
191	0.5293731661
192	0.5292913717
193	0.5286849054
194	0.5286778371
195	0.5284552386
196	0.5279265036
197	0.5276708253
198	0.5273883319
199	0.5273814455
200	0.5272008013
201	0.5272007444
202	0.5271551965
203	0.526787566
204	0.5267053132
205	0.5267053132
206	0.5266531969
207	0.5264524056
208	0.5263635712
209	0.5263586102
210	0.5263586387
211	0.5263525657
212	0.5263525657
213	0.5263466922
214	0.5263410752
215	0.5262107274
216	0.5262053086
217	0.5262052801
218	0.5252972445
219	0.5252921591
220	0.5249587597
221	0.5247570054
222	0.5247569768
223	0.5246983747
224	0.5246734045
225	0.5246216013
226	0.5244456152
227	0.5244456152
228	0.5243298803
229	0.5241235317
230	0.5240891133
231	0.5240891133
232	0.5240454427
233	0.5235037685
234	0.5235009878
235	0.523119515
236	0.5231168183
237	0.5231129453
238	0.5229532972
239	0.5229508292
240	0.5229061165
241	0.5229031604
242	0.5228558604
243	0.5228532197
244	0.5221378554
245	0.5219851542
246	0.5216377307
247	0.5214478154
248	0.5212489633
249	0.5212464009
250	0.5212443567
251	0.5210573223
252	0.5209386739
253	0.5205033698
254	0.5203332591
255	0.5203001187
256	0.5202983592
257	0.5199360118
258	0.5198145958
259	0.5196324474
260	0.5195935724
261	0.5195211577
262	0.5189140312
263	0.5188728174
264	0.5188539303
265	0.5188180052
266	0.5184588204
267	0.5181527687
268	0.5177623991
269	0.5172024513
270	0.5171591858
271	0.5170953402
272	0.5170161026
273	0.5169918936
274	0.5168693504
275	0.5164936143
276	0.5164649639
277	0.5164341325
278	0.5162602973
279	0.5161019606
280	0.5158591571
281	0.515627503
282	0.5154987549
283	0.5154693505
284	0.5153520366
285	0.5147499346
286	0.514639222
287	0.5143137986
288	0.5139884319
289	0.5139326899
290	0.5134063036
291	0.5131487425
292	0.5129362575
293	0.5127003264
294	0.5124892953
295	0.5120912382
296	0.5117077997
297	0.5115573832
298	0.5114622647
299	0.5112513096
300	0.5111037537
301	0.5108037839
302	0.5107590068
303	0.5107180458
304	0.5106684123
305	0.5106347327
306	0.5103049617
307	0.5100796412
308	0.51005066
309	0.5099486978
310	0.5098165432
311	0.5097813944
312	0.5096605627
313	0.5089773132
314	0.5087975382
315	0.5087414046
316	0.5086076971
317	0.5084241313
318	0.5079724012
319	0.5077669419
320	0.5076329482
321	0.507463935
322	0.5074053172
323	0.5073471659
324	0.5073129109
325	0.5068278569
326	0.5067837946
327	0.5064282837
328	0.5063968412
329	0.506278996
330	0.5061457944
331	0.5060359278
332	0.5059760175
333	0.5059453774
334	0.5057585012
335	0.5057546734
336	0.5057434864
337	0.5055233467
338	0.5054357628
339	0.5049800222
340	0.5049776447
341	0.5049754752
342	0.5049522937
343	0.5048321493
344	0.5048159476
345	0.5044388197
346	0.5043189696
347	0.504230998
348	0.503850424
349	0.5038320758
350	0.5036165539
351	0.5034229405
352	0.5030242427
353	0.5027823769
354	0.5027802278
355	0.502749184
356	0.5023392265
357	0.5022357585
358	0.501865304
359	0.5018557946
360	0.5016542621
361	0.5016412336
362	0.5016063496
363	0.5015894602
364	0.5015089846
365	0.5013384308
366	0.5013264568
367	0.5013182843
368	0.5013158146
369	0.5013135395
370	0.501265265
371	0.5012402803
372	0.5008155881
373	0.5008069578
374	0.5007987619
375	0.5007974434
376	0.5007960499
377	0.500794192
378	0.500787719
379	0.5007803169
380	0.5004265389
381	0.5004257442
382	0.5004248895
383	0.5004093848
384	0.500408725
385	0.5004079152
386	0.5003976734
387	0.5003915702
388	0.5003908654
389	0.500381733
390	0.5003775341
391	0.5003640074
392	0.5003601983
393	0.5003549794
394	0.5003512602
395	0.5003332936
396	0.5003219255
397	0.5002604909
398	0.5002244605
399	0.5002205304
400	0.5000461907
401	0.5000428894
402	0.5000410886
403	0.5000328802
404	0.5000148421
405	0.5000133264
406	0.5000117957
407	0.4998875518
408	0.4997263099
409	0.4997262949
410	0.4993226468
411	0.4993196111
412	0.4993051391
413	0.4991451673
414	0.4988500401
415	0.49885001
416	0.4980757383
417	0.4980355422
418	0.4980329507
419	0.4980105159
420	0.4978810252
421	0.4978086024
422	0.4977361239
423	0.4977166005
424	0.4977155904
425	0.4977155301
426	0.4977154698
427	0.4977154245
428	0.4977104795
429	0.4977104946
430	0.4977064088
431	0.4976334329
432	0.4976252902
433	0.4972383627
434	0.4972379703
435	0.4972356765
436	0.4966239398
437	0.496401207
