iter	Passed	Remaining
0	6	6264
1	16	7844
2	25	7869
3	33	7873
4	42	7890
5	49	7757
6	57	7708
7	66	7784
8	76	7963
9	84	7821
10	94	8005
11	101	7875
12	108	7717
13	116	7721
14	126	7781
15	133	7737
16	142	7718
17	149	7670
18	164	7957
19	173	7993
20	180	7905
21	188	7851
22	197	7856
23	205	7851
24	213	7802
25	223	7851
26	230	7798
27	241	7866
28	248	7805
29	259	7876
30	270	7932
31	278	7891
32	287	7906
33	292	7797
34	299	7734
35	307	7711
36	314	7672
37	321	7633
38	328	7594
39	336	7576
40	344	7543
41	351	7520
42	359	7492
43	367	7492
44	374	7451
45	384	7470
46	389	7402
47	395	7349
48	404	7355
49	412	7348
50	420	7327
51	427	7308
52	435	7284
53	442	7257
54	450	7248
55	457	7222
56	468	7256
57	476	7249
58	490	7324
59	501	7356
60	508	7330
61	518	7339
62	525	7315
63	535	7335
64	545	7347
65	552	7318
66	561	7320
67	568	7296
68	576	7281
69	584	7264
70	590	7224
71	599	7230
72	604	7184
73	612	7168
74	622	7179
75	630	7163
76	638	7151
77	647	7151
78	653	7124
79	662	7122
80	668	7089
81	677	7093
82	685	7075
83	693	7068
84	701	7052
85	709	7049
86	717	7034
87	728	7052
88	735	7031
89	745	7039
90	753	7027
91	761	7017
92	768	7002
93	776	6992
94	783	6966
95	788	6935
96	795	6915
97	803	6902
98	812	6898
99	820	6895
100	826	6867
101	835	6862
102	844	6859
103	853	6857
104	860	6845
105	869	6841
106	876	6827
107	886	6829
108	894	6822
109	907	6847
110	916	6842
111	924	6835
112	935	6845
113	943	6834
114	952	6832
115	960	6822
116	973	6847
117	985	6866
118	994	6863
119	1004	6866
120	1015	6876
121	1024	6871
122	1034	6871
123	1042	6858
124	1055	6881
125	1066	6890
126	1074	6878
127	1083	6875
128	1092	6870
129	1103	6875
130	1124	6943
131	1135	6949
132	1145	6950
133	1156	6954
134	1165	6947
135	1172	6930
136	1181	6924
137	1188	6909
138	1197	6899
139	1202	6873
140	1213	6877
141	1221	6862
142	1233	6873
143	1242	6866
144	1250	6857
145	1256	6831
146	1267	6837
147	1281	6860
148	1289	6846
149	1299	6844
150	1307	6833
151	1319	6840
152	1332	6854
153	1342	6854
154	1356	6872
155	1366	6866
