player_name,start_season,yellow_cards,red_cards,goals,assists,minutes_played,competition_code,date_of_birth,position,team_title,market_value_per_season,country,foot,height_in_cm,xA,shots,key_passes,npG,npxG,xGChain,xGBuildup,age,aggression,goals_90,assists_90,aggression_90,npG_90,npxG_90,xA_90,shots_90,key_passes_90,xGChain_90,xGBuildup_90,npG_per_shot,npxG_per_shot,goal_conv,npG_conv,npG_vs_npxG,position_category,log_market_value_per_season
Aarón Martín,2019,2.0,0.0,0.0,0.0,1795.0,bundesliga,1997-04-22,Left-Back,Mainz 05,10500000.0,Spain,left,178.0,3.2508881706744432,9.0,32.0,0.0,0.2944479025900364,3.658402419649065,2.195272685959935,23,0.6,0.0,0.0,0.030083565459610027,0.0,0.014763404586687063,0.16299717847392753,0.45125348189415043,1.6044568245125348,0.18342964778184728,0.1100693825829494,0.0,0.032716433621115155,0.0,0.0,-0.2944479025900364,Defender,16.166885910365842
Abdelhamid Sabiri,2019,6.0,0.0,4.0,1.0,1035.0,bundesliga,1996-11-28,Attacking Midfield,Paderborn,1700000.0,Morocco,right,186.0,0.2327508991584181,43.0,7.0,3.0,2.7111011184751987,1.6447697971016169,0.885899399407208,23,1.7999999999999998,0.34782608695652173,0.08695652173913043,0.15652173913043477,0.2608695652173913,0.23574792334566946,0.02023920862247114,3.739130434782609,0.6086956521739131,0.1430234606175319,0.07703473038323548,0.06976744186046512,0.06304886322035345,0.09302325581395349,0.06976744186046512,0.28889888152480125,Midfielder,14.346139397261565
Achraf Hakimi,2019,5.0,0.0,5.0,10.0,2717.0,bundesliga,1998-11-04,Right-Back,Borussia Dortmund,54000000.0,Morocco,right,181.0,5.5109693594276905,38.0,36.0,5.0,5.067437727935612,24.1443731226027,16.293885316699743,21,1.5,0.16562384983437617,0.33124769966875234,0.049687154950312847,0.16562384983437617,0.167857709059332,0.18254959232554,1.2587412587412588,1.1924917188075081,0.7997768056806195,0.539731202982325,0.13157894736842105,0.13335362441935822,0.13157894736842105,0.13157894736842105,-0.0674377279356122,Defender,17.804494623047066
Adam Bodzek,2019,10.0,0.0,0.0,0.0,2018.0,bundesliga,1985-09-07,Defensive Midfield,Fortuna Duesseldorf,325000.0,Poland,right,184.0,0.2707008011639118,9.0,8.0,0.0,0.6979128066450357,2.535295134410262,1.791961519047618,34,3.0,0.0,0.0,0.1337958374628345,0.0,0.03112594281370328,0.012072880131195275,0.40138751238850345,0.35678889990089196,0.11307064524129018,0.07991899738071635,0.0,0.07754586740500397,0.0,0.0,-0.6979128066450357,Midfielder,12.691583538230217
Admir Mehmedi,2019,0.0,0.0,2.0,2.0,1205.0,bundesliga,1991-03-16,Second Striker,Wolfsburg,8000000.0,Switzerland,right,183.0,2.1668263878673315,22.0,19.0,2.0,1.536661504302174,6.112823883071542,3.069345668889582,29,0.0,0.14937759336099585,0.14937759336099585,0.0,0.14937759336099585,0.11477139866157317,0.16183765552536086,1.6431535269709545,1.4190871369294604,0.45655946014642224,0.22924573460586092,0.09090909090909091,0.06984825019555337,0.09090909090909091,0.09090909090909091,0.4633384956978259,Forward,15.894952224644102
Alassane Plea,2019,4.0,0.0,10.0,10.0,2140.0,bundesliga,1993-03-10,Centre-Forward,Borussia M.Gladbach,30000000.0,France,right,181.0,8.420420812442899,77.0,39.0,10.0,11.941495610401034,19.66848337650299,4.572907918132842,27,1.2,0.4205607476635514,0.4205607476635514,0.05046728971962617,0.4205607476635514,0.5022124322131276,0.3541298472522714,3.2383177570093458,1.6401869158878504,0.827179207423023,0.19231855730465222,0.12987012987012986,0.1550843585766368,0.12987012987012986,0.12987012987012986,-1.9414956104010344,Forward,17.216707972959764
Aleksandar Dragovic,2019,7.0,0.0,0.0,0.0,1029.0,bundesliga,1991-03-06,Centre-Back,Bayer Leverkusen,5200000.0,Austria,right,186.0,0.0665485989302396,2.0,2.0,0.0,0.8147090077400208,2.5972547121346,2.423275712877512,29,2.1,0.0,0.0,0.1836734693877551,0.0,0.07125734761574526,0.005820577165910168,0.1749271137026239,0.1749271137026239,0.22716513517212247,0.2119483130796658,0.0,0.4073545038700104,0.0,0.0,-0.8147090077400208,Defender,15.46416937585933
Alessandro Schöpf,2019,3.0,0.0,0.0,1.0,1427.0,bundesliga,1994-02-07,Right Midfield,Schalke 04,4000000.0,Austria,right,178.0,1.0775190237909555,15.0,11.0,0.0,1.295592694543302,4.150787480175495,2.360913016833365,26,0.8999999999999999,0.0,0.06306937631394534,0.0567624386825508,0.0,0.08171222320174996,0.0679584527969068,0.94604064470918,0.6937631394533987,0.26178757758640125,0.14890131150315544,0.0,0.0863728463028868,0.0,0.0,-1.295592694543302,Midfielder,15.201805169084134
Alexander Nübel,2019,1.0,1.0,0.0,0.0,2316.0,bundesliga,1996-09-30,Goalkeeper,Schalke 04,9500000.0,Germany,right,193.0,0.0,0.0,0.0,0.0,0.0,1.6839603818953035,1.6839603818953035,23,1.0,0.0,0.0,0.038860103626943004,0.0,0.0,0.0,0.0,0.0,0.06543887494411801,0.06543887494411801,0.0,0.0,0.0,0.0,0.0,Goalkeeper,16.066802461833923
Alexander Schwolow,2019,0.0,0.0,0.0,0.0,2092.0,bundesliga,1992-06-02,Goalkeeper,Freiburg,7000000.0,Germany,right,190.0,0.0,0.0,0.0,0.0,0.0,1.9461060147732496,1.9461060147732496,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08372349011930806,0.08372349011930806,0.0,0.0,0.0,0.0,0.0,Goalkeeper,15.76142084987672
