,id,player_name,games,time,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season,xGChain,xGBuildup
0,227,Robert Lewandowski,31,2763,34,31.196764163672924,4,7.271126873791218,138,36,5,0,F,Bayern Munich,29,27.407881716266274,39.65042235143483,9.743501517921686
1,65,Timo Werner,34,2825,28,23.448499284684658,8,9.675969239324331,123,53,4,0,F M S,RasenBallsport Leipzig,25,21.175240360200405,35.58639565855265,7.971803832799196
2,6345,Jadon Sancho,32,2284,17,10.752354852855206,16,11.467584058642387,52,69,2,0,F M S,Borussia Dortmund,17,10.752354852855206,28.819598192349076,11.866170266643167
3,7052,Wout Weghorst,32,2736,16,17.838466234505177,3,2.214333187788725,85,37,7,0,F S,Wolfsburg,12,14.807365261018276,19.157783091068268,5.003612016327679
4,7060,Rouwen Hennings,32,2458,15,11.296850126236677,0,1.0592177482321858,73,22,4,0,F S,Fortuna Duesseldorf,11,8.266155164688826,8.532814554870129,1.1452460400760174
5,48,Jhon Córdoba,29,2015,13,8.334682997316122,2,2.022234727628529,60,25,5,0,F S,FC Cologne,13,8.334682997316122,12.444191657938063,3.3281732872128487
6,306,Florian Niederlechner,33,2762,13,14.085201999172568,6,5.857988929376006,78,29,1,0,F M S,Augsburg,12,12.569648077711463,17.57950815744698,1.6237762980163097
7,1275,Robin Quaison,32,2631,13,11.196697177365422,2,2.7613996025174856,71,28,2,0,F M S,Mainz 05,12,10.43891722150147,13.350589018315077,3.494772717356682
8,8260,Erling Haaland,15,1061,13,8.889357395470142,2,1.5264755114912987,33,9,0,0,F S,Borussia Dortmund,13,8.889357395470142,11.366187927313149,2.984985080547631
9,956,Andrej Kramaric,19,1411,12,9.89877256564796,2,4.02412474853918,44,28,3,0,F M S,Hoffenheim,10,8.383216438814998,11.398426994681358,2.765834864228964
10,993,Serge Gnabry,31,2221,12,14.172484152019024,10,12.498703610152006,95,54,0,0,F M S,Bayern Munich,12,14.172484152019024,33.750422574579716,12.32283779233694
11,5220,Kai Havertz,30,2467,12,10.05915598385036,6,8.284009832888842,59,58,3,0,F M S,Bayer Leverkusen,11,9.301623983308673,23.020573746412992,9.87081922404468
12,6170,André Silva,25,1575,12,11.537909541279078,3,4.55522895604372,54,32,1,0,F S,Eintracht Frankfurt,11,10.780132565647364,14.233418745920062,1.5503290751948953
13,7880,Sebastian Andersson,33,2705,12,13.026004776358604,1,1.822499212808907,64,23,5,0,F S,Union Berlin,11,11.510451823472977,11.69414233788848,3.0581286838278174
14,319,Marco Reus,19,1505,11,9.104644790291786,5,3.133824195712805,47,22,1,0,F M S,Borussia Dortmund,10,8.346948113292456,16.012733042240143,6.054591113701463
