,id,player_name,games,time,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season,xGChain,xGBuildup
0,3423,Kylian Mbappe-Lottin,31,2392,27,22.85456206649542,7,5.384129408746958,103,33,5,0,F M S,Paris Saint Germain,21,18.29412802308798,32.02801696956158,10.398177593946457
1,555,Memphis Depay,37,2932,21,16.249497080221772,12,14.070531751960516,110,94,4,0,F M S,Lyon,13,10.168801361694932,28.869873421266675,12.154922423884273
2,3210,Wissam Ben Yedder,37,2658,20,20.224988646805286,7,6.69225063174963,81,41,3,0,F S,Monaco,10,11.103914938867092,21.631081022322178,7.890259772539139
3,83,Kevin Volland,35,2820,16,11.136239062994719,7,5.541547808796167,56,32,4,0,F M S,Monaco,16,11.136239062994719,18.232258150354028,4.06231093313545
4,3746,Gaetan Laborde,38,3297,16,11.377971761859953,8,5.432974225841463,101,37,3,0,F M,Montpellier,16,11.377971761859953,15.379744828678668,4.294905281625688
5,6905,Ludovic Ajorque,35,2983,16,15.859638623893261,4,3.3603819543495774,69,35,5,0,F S,Strasbourg,12,12.059157747775316,16.34954374935478,1.860937307588756
6,8637,Burak Yilmaz,28,2057,16,10.406689167022705,5,4.224032396450639,66,29,6,0,F S,Lille,12,7.366312311030924,11.470711605623364,1.5940356012433767
7,3530,Andy Delort,30,2516,15,12.927484155632555,9,6.78670422360301,91,53,4,0,F,Montpellier,15,12.167389162816107,17.666915736161172,4.133093921467662
8,5657,Karl Toko Ekambi,35,2849,14,17.97721490636468,6,6.999957676976919,90,49,3,0,F M S,Lyon,14,17.97721490636468,28.031242348253727,8.084192844107747
9,7224,Boulaye Dia,36,2974,14,13.288510190322995,1,2.0092017725110054,63,29,2,0,F M S,Reims,9,9.48803267814219,13.300802014768124,2.334695778787136
10,8997,Terem Igobor Moffi,32,2104,14,10.711365699768066,2,2.906240336596966,56,26,2,0,F S,Lorient,13,9.951267719268799,13.140536880120635,1.7896368959918618
11,1304,Moise Kean,26,1723,13,10.803334847092628,0,0.9559355862438679,52,7,4,0,F M S,Paris Saint Germain,13,10.803334847092628,13.382937137037516,3.096214598044753
12,8636,Jonathan Christian David,37,2375,13,10.193991037085652,2,2.6572828758507967,55,34,0,0,F M S,Lille,13,10.193991037085652,15.720193887129426,3.35988506115973
13,6401,Amine Gouiri,34,2766,12,13.30751882866025,7,6.947861346416175,80,52,5,0,F M S,Nice,8,10.267330329865217,19.292042423039675,6.041423872113228
14,7746,Hwang Ui-Jo,36,2559,12,13.857619296759367,3,3.04563270136714,76,20,1,0,F M S,Bordeaux,9,11.577337231487036,13.104358458891511,2.141075501218438
15,2549,Gaël Kakuta,35,2449,11,11.000124274753034,5,6.874321066774428,52,49,3,0,F M S,Lens,4,4.15946002304554,14.133832322433591,7.443624224513769
16,6864,Renaud Ripart,38,3069,11,10.323583043180406,0,2.023234825581312,68,17,3,0,D F M S,Nimes,5,5.002917672507465,11.07600312307477,6.211829014122486
17,3475,Ludovic Blas,36,2824,10,7.8860837975516915,4,3.4960446935147047,71,29,5,0,F M S,Nantes,10,7.8860837975516915,13.177064375020564,2.723912727087736
18,3738,Serhou Guirassy,27,1766,10,8.145257823169231,1,2.8140995800495148,52,26,3,0,F S,Rennes,9,7.385230831801891,8.88998200185597,1.8485849108546972
19,5786,Yoane Wissa,38,2693,10,13.373511863872409,4,3.5753452135249972,59,29,2,0,F M S,Lorient,6,9.573037549853325,14.744663499295712,3.5842560827732086
20,8702,Tinotenda Kadewere,33,2033,10,10.553180808201432,3,3.556737592443824,61,21,4,0,F M S,Lyon,10,10.553180808201432,16.89579740166664,6.8946636244654655
21,1583,Arkadiusz Milik,15,1231,9,7.984824847429991,1,1.0393307991325855,46,8,2,0,F S,Marseille,6,5.704544056206942,6.928293405100703,1.5912337945774198
22,2099,Neymar,18,1413,9,13.246898010373116,5,7.5178311839699745,70,58,5,2,F M S,Paris Saint Germain,4,8.686329051852226,21.538129962980747,9.84727392718196
23,3800,Steve Mounie,35,2704,9,11.393559353426099,4,2.5633408492431045,80,18,6,0,F S,Brest,8,9.873364450410008,14.148396980948746,3.846117125824094
24,5611,Martin Terrier,34,2490,9,5.966760700568557,7,3.871058724820614,47,40,2,1,F M S,Rennes,8,5.206662690266967,12.403086271137,4.0919741010293365
25,5743,Randal Kolo Muani,37,3056,9,9.464212860912085,4,6.520260263234377,58,38,3,0,F M S,Nantes,9,9.464212860912085,16.168135531246662,2.183053377084434
26,5769,Habib Diallo,36,2485,9,8.535664945840836,3,2.4936495274305344,56,20,2,0,F M S,"Metz,Strasbourg",8,7.775571972131729,12.570495910942554,4.294145564548671
27,7365,Lucas Paquetá,30,2303,9,7.577046515420079,5,6.407318696379662,55,44,4,1,M S,Lyon,9,7.577046515420079,22.924588384106755,11.420268502086401
28,7484,Stephy Mavididi,35,2038,9,5.799915175884962,0,1.1897292118519545,30,15,3,0,F M S,Montpellier,9,5.799915175884962,8.422987123951316,2.1165173491463065
29,8318,Moussa Koné,33,1777,9,5.987067988142371,0,1.1345299081876874,31,12,2,0,F S,Nimes,9,5.987067988142371,8.587760036811233,2.0720542958006263
30,942,Florian Thauvin,36,2777,8,9.09364547394216,8,10.30866009183228,71,57,5,0,D F M S,Marseille,8,7.573521291837096,19.319562792778015,7.567850796505809
31,3314,Franck Honorat,36,2477,8,3.725578421726823,4,7.627052363008261,41,63,3,0,F M S,Brest,8,3.725578421726823,12.79016587510705,5.243441419675946
32,3348,Florian Sotoca,33,2445,8,10.588091654703021,3,3.645148277282715,71,26,7,0,F M S,Lens,6,9.067900551483035,13.476222691126168,4.3819529712200165
33,536,Dimitri Payet,33,2442,7,6.303960330784321,10,8.001092848367989,45,66,4,2,F M S,Marseille,7,5.543865627609193,15.65750396065414,7.611956404522061
34,734,Wahbi Khazri,22,1209,7,5.212773447856307,1,1.3759018061682582,32,20,5,1,F M S,Saint-Etienne,4,2.9324842002242804,4.466800130903721,1.2037274232134223
35,1513,Mauro Icardi,20,1071,7,8.699158128350973,3,2.8388203252106905,40,15,1,0,F S,Paris Saint Germain,6,7.939195152372122,11.686985990032554,2.6415746826678514
36,3781,Denis Bouanga,36,2753,7,12.275958571583033,4,3.5630263667553663,102,23,7,0,D F M S,Saint-Etienne,4,9.235583091154695,13.026226501911879,3.0741637963801622
37,5724,Irvin Cardona,36,2046,7,6.862922616302967,1,1.1326523097231984,54,19,2,0,F S,Brest,7,6.862922616302967,9.093674199655652,2.104030999355018
38,5733,Houssem Aouar,30,1800,7,10.59757087379694,3,3.7665807642042637,70,36,3,1,F M S,Lyon,5,9.07738093007356,18.622020952403545,6.645679936744273
39,6019,Angelo Fulgini,33,2756,7,5.079512224532664,3,4.770345536991954,63,58,4,0,F M,Angers,6,4.319416814483702,12.616543143987656,6.699066322296858
40,6238,Ignatius Ganago,24,1313,7,7.547916427254677,0,1.0401556827127934,40,14,0,0,F S,Lens,7,7.547916427254677,9.177439633756876,1.6499884128570557
41,6846,Sofiane Diop,32,2044,7,4.430874202400446,1,2.7328585255891085,44,29,4,0,F M S,Monaco,7,4.430874202400446,13.733498271554708,8.00008738040924
42,7278,Imran Louza,33,2409,7,5.838704468682408,2,1.7641830686479807,36,25,4,1,M S,Nantes,2,2.038294702768326,5.762297971174121,4.251423113979399
43,7747,Mama Baldé,29,2181,7,8.159711710177362,0,0.5127622922882438,58,10,4,0,F M S,Dijon,7,8.159711710177362,9.451737869530916,2.1101262774318457
44,7756,Yusuf Yazici,32,1069,7,4.712144263088703,4,3.51848744507879,44,36,1,0,F M S,Lille,7,4.712144263088703,8.429730590432882,2.2704688906669617
45,8056,Arnaud Kalimuendo Muinga,29,1288,7,6.373287120833993,3,2.459488496184349,34,16,0,0,F M S,"Lens,Paris Saint Germain",7,6.373287120833993,9.718501679599285,2.0639821738004684
