,id,player_name,games,time,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season,xGChain,xGBuildup
0,1209,Ciro Immobile,37,3179,36,28.108765430748463,9,5.732697490602732,142,59,8,0,F S,Lazio,22,16.689363062381744,23.458132199943066,3.7399279307574034
1,2371,Cristiano Ronaldo,33,2920,31,29.431685788556933,5,6.067226376384497,208,51,3,0,F,Juventus,19,19.534961802884936,26.553606890141964,7.224641811102629
2,594,Romelu Lukaku,36,2985,23,20.794337948784232,2,5.124767728149891,99,53,2,0,F S,Inter,17,16.226585706695914,23.886113854125142,5.316864248365164
3,6980,Francesco Caputo,36,2940,21,14.31505648419261,7,5.517016887664795,73,53,3,0,F S,Sassuolo,19,12.79250043258071,20.526265125721693,4.79113036673516
4,1148,Duván Zapata,28,2047,18,15.833167165517807,6,5.763869766145945,89,38,1,0,F S,Atalanta,17,15.071868166327477,21.9683753605932,4.951401233673096
5,1229,Luis Muriel,34,1225,18,13.16878011636436,1,4.70155780389905,77,36,1,0,F S,Atalanta,12,7.839688865467906,15.924872692674398,5.697577400133014
6,1592,João Pedro,36,3170,18,13.587584313005209,4,3.4426078982651234,87,34,6,0,F M S,Cagliari,14,9.019789304584265,17.57632730063051,6.634416775777936
7,1253,Edin Dzeko,35,2857,16,21.150355987250805,7,6.020592227578163,122,54,4,0,F S,Roma,16,21.150355987250805,29.798950819298625,8.127791193313897
8,1186,Andrea Belotti,36,3010,15,16.82832372095436,4,5.020059783011675,104,42,4,0,F S,Torino,8,10.73792968224734,15.490908056497574,3.162090703845024
9,1426,Josip Ilicic,26,1682,15,10.302356295287609,5,7.0947669968008995,81,53,1,1,F M S,Atalanta,15,10.302356295287609,23.532421188428998,10.623072260990739
10,1612,Domenico Berardi,31,2521,14,10.253665913362056,10,7.873034365475178,119,59,6,1,F M S,Sassuolo,12,7.969765156973153,18.357233034446836,6.4422936253249645
11,7006,Lautaro Martínez,35,2487,14,15.720712151378393,3,3.1426606830209494,125,31,8,1,F S,Inter,12,13.436816152185202,19.058666795492172,5.4234310276806355
12,7973,Marco Mancosu,33,2456,14,15.520460256375372,2,3.370796538889408,85,32,3,0,F M S,Lecce,5,7.146207560785115,11.121595025062561,3.335930908098817
13,1102,Giovanni Simeone,37,2951,12,12.278662263415754,3,2.9999660663306713,86,18,4,0,F S,Cagliari,12,12.278662263415754,16.307614900171757,2.71319901291281
14,1493,Andrea Petagna,36,3038,12,13.447419787757099,1,3.0871084993705153,110,36,5,0,F S,SPAL 2013,7,8.118322721682489,13.111873854883015,4.879414613358676
15,6156,Andreas Cornelius,26,1482,12,7.528960028663278,3,1.6179817002266645,46,21,1,0,F S,Parma Calcio 1913,12,7.528960028663278,10.615368086844683,1.952322212047875
16,1136,Gianluca Lapadula,25,1808,11,9.833517180755734,0,1.2387498142197728,60,23,8,1,F S,Lecce,9,8.310915069654584,9.270818097516894,2.106314828619361
17,1230,Fabio Quagliarella,28,2302,11,12.694549661129713,3,3.7642649058252573,100,37,2,0,F M S,Sampdoria,6,8.126753199845552,11.538919039070606,2.5453762225806713
18,1294,Paulo Dybala,33,2187,11,9.310342885553837,6,7.191226188093424,100,69,5,0,F M S,Juventus,10,8.54903993755579,19.91658071335405,9.56288909446448
19,1383,Manolo Gabbiadini,33,2043,11,7.862871311604977,1,3.5406722212210298,86,39,2,0,F M S,Sampdoria,10,7.101572327315807,11.279241872951388,2.9115538243204355
20,1583,Arkadiusz Milik,26,1754,11,11.055531712248921,0,1.7729783356189728,68,21,5,0,F S,Napoli,11,11.055531712248921,14.795822352170944,3.90429331921041
21,1852,Ante Rebic,26,1417,11,7.492967018857598,3,3.819942737929523,42,32,5,0,F M S,AC Milan,11,7.492967018857598,13.793150510638952,3.680917799472809
22,3544,Jeremie Boga,34,2536,11,4.567409997805953,2,3.224501945078373,57,34,0,0,F M S,Sassuolo,11,4.567409997805953,11.07051096856594,5.21479844301939
23,1433,Federico Chiesa,34,2668,10,12.35086377710104,6,5.569174846634269,111,48,7,0,D F M S,Fiorentina,9,10.828271813690662,19.514575142413378,6.01035426184535
24,1741,Zlatan Ibrahimovic,18,1371,10,11.41749020665884,5,3.829546796157956,66,26,1,0,F S,AC Milan,8,9.133594281971455,14.199741244316101,5.174322362989187
25,1903,Kevin Lasagna,36,2578,10,10.628192365169525,1,2.2747020637616515,78,23,1,0,F S,Udinese,10,10.628192365169525,13.44550290890038,1.9855328109115362
26,6691,Dejan Kulusevski,36,2954,10,7.2670906987041235,8,8.434681857004762,62,77,3,0,F M S,Parma Calcio 1913,9,6.505791684612632,20.104144990444183,7.623329751193523
27,189,Hakan Calhanoglu,35,2749,9,7.6816019881516695,9,8.011522492393851,101,69,6,0,F M S,AC Milan,8,6.920339958742261,19.85451729223132,8.756982326507568
28,317,Henrikh Mkhitaryan,22,1538,9,6.188466884195805,5,3.263670163229108,43,27,4,0,M S,Roma,9,6.188466884195805,13.575276017189026,5.561246877536178
29,1115,Goran Pandev,34,1673,9,6.467586030252278,1,2.3046118300408125,37,22,4,1,F M S,Genoa,9,6.467586030252278,13.506857691332698,5.404654533602297
30,1134,Mario Pasalic,35,2443,9,10.014533215202391,5,4.549632465466857,58,42,6,0,F M S,Atalanta,9,10.014533215202391,21.75920226611197,11.893086744472384
31,1384,Dries Mertens,31,1688,9,6.45439029764384,7,5.916114403866231,75,53,5,0,F S,Napoli,9,6.45439029764384,14.29087935294956,4.190692910924554
32,1809,Joaquín Correa,30,2007,9,9.575201097875834,2,3.161220194771886,78,33,0,0,F M S,Lazio,9,8.813905093818903,13.525767482817173,3.953991588205099
33,2116,Felipe Caicedo,30,1427,9,6.388952203094959,2,2.82886962313205,30,23,7,0,F S,Lazio,9,5.627653189003468,10.128338310867548,2.4290986927226186
34,6155,Robin Gosens,34,2638,9,6.42340737208724,7,3.6214444134384394,52,39,3,0,D M S,Atalanta,9,6.42340737208724,18.24456511437893,10.977985163219273
35,6512,Musa Barrow,25,1529,9,7.550139792263508,4,4.190246731042862,76,38,1,0,D F M S,"Atalanta,Bologna",8,6.027541626244783,10.509739644825459,2.855596987530589
36,1293,Gonzalo Higuaín,32,1866,8,10.087238993495703,4,4.924903925508261,75,38,2,0,F S,Juventus,8,10.087238993495703,15.302674751728773,3.569639442488551
37,1393,Lorenzo Insigne,37,2852,8,13.023430295288563,6,7.668638428673148,120,85,1,0,F M S,Napoli,3,9.216980963945389,22.409112378954887,11.923518257215619
38,1763,Stefano Okaka,33,2435,8,8.239937787875533,2,1.908740235492587,57,25,10,0,F S,Udinese,8,8.239937787875533,13.800995521247387,5.2772520603612065
39,3065,Domenico Criscito,26,2049,8,7.907501485198736,0,1.3465876076370478,24,22,7,0,D S,Genoa,0,0.2946316972374916,6.056634593755007,5.296600047498941
40,6160,Riccardo Orsolini,37,2718,8,9.521243624389172,6,8.780269923619926,91,55,3,0,F M S,Bologna,8,9.521243624389172,18.8634351529181,7.0155302891507745
41,7947,Ruslan Malinovskiy,34,1500,8,4.234773071482778,3,4.678754461929202,79,46,5,1,F M S,Atalanta,8,3.473474057391286,13.985556179657578,9.395588524639606
42,8035,Samuel Di Carmine,22,1319,8,6.504082385450602,0,0.9941748809069395,31,6,3,0,F M S,Verona,7,4.981487270444632,6.707840490154922,2.031572544015944
43,621,Aleksandar Kolarov,32,2728,7,6.698397692292929,4,4.556032946333289,72,56,6,0,D S,Roma,5,3.65332880243659,17.206804178655148,13.999759584665298
44,952,Gastón Ramírez,26,1414,7,5.948077545501292,2,2.851084429770708,40,33,5,0,F M S,Sampdoria,4,3.664218400605023,5.485209925100207,2.0626297844573855
45,1145,Rodrigo de Paul,34,2831,7,5.401642860844731,6,9.779395781457424,85,77,5,1,M S,Udinese,7,5.401642860844731,18.01321103889495,7.944956838153303
46,1448,Erick Pulgar,37,2936,7,7.33827893063426,6,5.6077188942581415,32,83,9,0,M S,Fiorentina,0,1.2480048276484013,12.47752621024847,10.301628768444061
47,1491,Alejandro Gomez,36,2879,7,8.4373623682186,16,10.007644957862794,95,101,2,0,F M S,Atalanta,7,8.4373623682186,26.194511899724603,15.412753357551992
48,1518,Rodrigo Palacio,35,2528,7,8.726712061092257,3,5.029876878485084,60,53,5,0,F M S,Bologna,7,8.726712061092257,17.938259007409215,6.077196916565299
49,1543,Sergej Milinkovic-Savic,37,3038,7,5.316485211253166,4,4.6215039268136024,87,47,9,0,M S,Lazio,7,5.316485211253166,15.961734548211098,9.44918805360794
